lsoa,os,left,right,top,bottom
E01000139,E00000669,-0.209973501,-0.196680421,51.56304829,51.55528963
E01000140,E00000671,-0.199961575,-0.192478193,51.5661671,51.56050318
E01000141,E00000668,-0.222177143,-0.209650995,51.56468335,51.55514962
E01000142,E00000679,-0.21520133,-0.206643786,51.56551075,51.55859096
E01000143,E00000680,-0.213306277,-0.204924555,51.56075486,51.5557336
E01000144,E00000687,-0.202827731,-0.195559568,51.5770712,51.5709745
E01000145,E00000689,-0.21077548,-0.201091878,51.57571633,51.56986851
E01000146,E00000696,-0.204288141,-0.19323852,51.57342591,51.56817856
E01000147,E00000726,-0.254010901,-0.244023803,51.59192784,51.58744523
E01000148,E00000763,-0.259769757,-0.248289164,51.59581735,51.58843778
E01000150,E00000729,-0.250201182,-0.238772598,51.58968587,51.5803031
E01000151,E00000745,-0.246641702,-0.239319295,51.6041706,51.59915135
E01000152,E00000736,-0.247511378,-0.238746918,51.60826783,51.60176829
E01000153,E00000723,-0.250807363,-0.244464087,51.60807244,51.60104767
E01000154,E00000751,-0.248341263,-0.241350482,51.60107838,51.59673702
E01000155,E00000724,-0.257071033,-0.245544003,51.5992925,51.5932777
E01000156,E00000775,-0.153150087,-0.144317312,51.60408275,51.59744707
E01000157,E00000793,-0.148077402,-0.142025112,51.60592798,51.60051364
E01000158,E00000777,-0.155817889,-0.146399008,51.62282688,51.61331772
E01000159,E00000807,-0.165101437,-0.150894153,51.62334958,51.61373452
E01000160,E00000769,-0.150508183,-0.138787373,51.61781741,51.60888193
E01000161,E00000771,-0.15951717,-0.145811858,51.61602597,51.61117055
E01000162,E00000780,-0.16197768,-0.152844362,51.61597383,51.60939622
E01000163,E00000773,-0.148192259,-0.14208688,51.61070626,51.6037457
E01000164,E00000791,-0.160528616,-0.146610648,51.61084439,51.59961406
E01000165,E00000770,-0.154222254,-0.146560548,51.61259418,51.60700835
E01000166,E00000824,-0.165774429,-0.153303516,51.65817626,51.64993959
E01000167,E00000865,-0.175554631,-0.160461041,51.66056788,51.65101779
E01000168,E00000832,-0.161305607,-0.149920886,51.65237231,51.64503572
E01000169,E00000821,-0.169348009,-0.159907803,51.65324726,51.64722607
E01000170,E00000823,-0.169572794,-0.15698637,51.64929996,51.64328527
E01000171,E00000825,-0.174837568,-0.166671507,51.65350772,51.64231577
E01000172,E00000844,-0.157167486,-0.142095277,51.64781795,51.63530732
E01000173,E00000848,-0.16447385,-0.150284053,51.64487863,51.63651919
E01000174,E00000819,-0.169628663,-0.160254814,51.64376688,51.63914674
E01000175,E00000820,-0.168471894,-0.150160656,51.64206396,51.63345727
E01000176,E00000880,-0.184723518,-0.17302219,51.60024726,51.59203971
E01000177,E00000871,-0.177517899,-0.167019977,51.59490004,51.59077449
E01000178,E00000883,-0.171308391,-0.158691772,51.60077247,51.59143843
E01000179,E00000870,-0.180075577,-0.173518898,51.597436,51.59179977
E01000180,E00000874,-0.176394708,-0.165626031,51.59198878,51.58718041
E01000181,E00000905,-0.168632419,-0.159001922,51.59301408,51.58898489
E01000182,E00000877,-0.167941435,-0.157176709,51.59055957,51.58451307
E01000183,E00000873,-0.18055996,-0.168856311,51.59220559,51.58695148
E01000184,E00000872,-0.176230203,-0.156325046,51.60578841,51.59688623
E01000185,E00000881,-0.174643653,-0.169354987,51.59870882,51.5933402
E01000186,E00000929,-0.279651236,-0.269455449,51.62713416,51.61814301
E01000187,E00000923,-0.277491871,-0.268704638,51.62940533,51.62249213
E01000188,E00000922,-0.305599301,-0.266145842,51.64106163,51.6211427
E01000189,E00000933,-0.29196651,-0.284023623,51.62374736,51.61842226
E01000190,E00000938,-0.288729913,-0.279388729,51.62253438,51.61464789
E01000191,E00000935,-0.284907116,-0.272108971,51.62293597,51.61793123
E01000192,E00000941,-0.278535826,-0.266594102,51.61930511,51.61312867
E01000193,E00000951,-0.285632578,-0.272144735,51.61854001,51.61147373
E01000194,E00000955,-0.281251787,-0.269697608,51.61525579,51.60693257
E01000195,E00000924,-0.272956915,-0.262449271,51.63551506,51.62637392
E01000196,E00000989,-0.201727031,-0.19125852,51.6012071,51.59480151
E01000197,E00000968,-0.194189112,-0.181495304,51.60139827,51.59416605
E01000198,E00000970,-0.225636053,-0.207596102,51.59944325,51.59124343
E01000199,E00000972,-0.214152896,-0.199392532,51.60296238,51.59665681
E01000200,E00000966,-0.210112451,-0.198418714,51.5988181,51.59300329
E01000201,E00000971,-0.211790578,-0.194695462,51.59437027,51.5887237
E01000202,E00000974,-0.202768862,-0.191659233,51.59655977,51.59123279
E01000203,E00000967,-0.203382183,-0.185312076,51.59621816,51.58928515
E01000204,E00000984,-0.209512109,-0.193586793,51.60498779,51.59852274
E01000205,E00001020,-0.19406283,-0.18391346,51.59159847,51.58344387
E01000206,E00001014,-0.188470643,-0.16664395,51.58424802,51.5680066
E01000207,E00001034,-0.190938068,-0.178020399,51.58669921,51.57644953
E01000208,E00001028,-0.1786613,-0.161397469,51.58939434,51.58197152
E01000209,E00001029,-0.199305015,-0.185843018,51.58753283,51.57960419
E01000210,E00001018,-0.19001779,-0.176016028,51.59448138,51.58360171
E01000211,E00001021,-0.200556101,-0.192117908,51.59033639,51.57894699
E01000212,E00001053,-0.198096835,-0.185816392,51.58188046,51.57413441
E01000213,E00001012,-0.184678842,-0.172446451,51.58436123,51.57567428
E01000214,E00001013,-0.196126418,-0.18433311,51.57819281,51.57005311
E01000215,E00001097,-0.214494813,-0.203833377,51.58360362,51.57804984
